configuration,snr,accuracy,macro_f1
Mixed 10pct Original,6,0.6506666666666666,0.5945067778383726
Mixed 10pct Original,8,0.664,0.6069371701380654
Mixed 10pct Original,10,0.6413333333333333,0.5855099067971863
Mixed 10pct Original,12,0.6226666666666667,0.5648788661816297
Mixed 10pct Original,14,0.6586666666666666,0.600849028628662
Mixed 10pct Original,16,0.6573333333333333,0.5983874352182621
Mixed 10pct Original,18,0.656,0.5973366599358718
Mixed 10pct Calibrated,-20,0.32,0.21926374316482064
Mixed 10pct Calibrated,-18,0.284,0.19075337065041229
Mixed 10pct Calibrated,-16,0.19866666666666666,0.14176702913254235
Mixed 10pct Calibrated,-14,0.20266666666666666,0.1750440776486521
Mixed 10pct Calibrated,-12,0.272,0.25573075215450586
Mixed 10pct Calibrated,-10,0.35733333333333334,0.3446093643011113
Mixed 10pct Calibrated,-8,0.468,0.44963077482292657
Mixed 10pct Calibrated,-6,0.49466666666666664,0.45205972108657394
Mixed 10pct Calibrated,-4,0.532,0.5124545114976142
Mixed 10pct Calibrated,-2,0.6626666666666666,0.6645786667089159
Mixed 10pct Calibrated,0,0.7266666666666667,0.7295919880778496
Mixed 10pct Calibrated,2,0.7586666666666667,0.7534974627947708
Mixed 10pct Calibrated,4,0.7813333333333333,0.7700673138063272
Mixed 10pct Calibrated,6,0.788,0.7755329724306382
Mixed 10pct Calibrated,8,0.804,0.7959478898424541
Mixed 10pct Calibrated,10,0.7933333333333333,0.7869879810640302
Mixed 10pct Calibrated,12,0.7906666666666666,0.7821148230054497
Mixed 10pct Calibrated,14,0.816,0.804979462669215
Mixed 10pct Calibrated,16,0.7613333333333333,0.7505147163089447
Mixed 10pct Calibrated,18,0.78,0.7674618688813549
